procedure_code,procedure_description,benefit_group
pcd4288,Retroperitoneal Drainage Of Perinephric Abscess,surgeries
pcd4304,Simple Congenital Talipes Repair,exclusions
pcd4316,Squint Surgery,surgeries
pcd4320,Subdural Tap,surgeries
pcd4322,Submandibular Sialoadenectomy,surgeries
pcd4323,Subperiosteal Drainage Of Acute Osteomyelitis,surgeries
pcd4325,Surgery Of Hepatic Trauma,surgeries
pcd4331,Surgical Extraction,dentistry
pcd4337,Synovectomy,surgeries
pcd4369,Tympanometry,audiology
pcd4376,Vagotomy/Pyloroplasty,surgeries
pcd4378,Vasectomy,surgeries
pcd900,Aspirations / Paracentesis,surgeries
pcd902,Evacuation Of Impacted Faeces,surgeries
diag1810,PCD Abdomen,advanced and complex investigations
diag1811,PCD Both Eyes,advanced and complex investigations
diag1812,PCD Carotids,advanced and complex investigations
diag1813,PCD Lower Extremity Arterial Study (Both Limbs),advanced and complex investigations
diag1817,PCD Lower Extremity Venous Study (Both Limbs),advanced and complex investigations
diag1819,PCD Neck Vessels,advanced and complex investigations
diag1823,PCD Renal,advanced and complex investigations
diag1824,PCD Upper Extremity Arterial Study (Both Limbs),advanced and complex investigations
diag1827,PCD Upper Extremity Venous Study (Both Limbs),advanced and complex investigations
diag1830,PCD Varicocele,advanced and complex investigations
diag1837,PCD (PENILE),advanced and complex investigations
phot02,Phototherapy (Double) Per Day,emergency/critical care
physio004,Incentive Spirometer,physiotherapy
physio005,Zimmer frame,orthopaedics/orthotics
son0001,Venous Doppler Scan (Limb),advanced and complex investigations
son0002,Renal Doppler Scan (bilateral),advanced and complex investigations
pcd102,Sublingual gland excision,surgeries
pcd105,Total Parotidectomy,surgeries
pcd106,Parathyroidectomy,surgeries
pcd109,Thyroplasty,surgeries
pcd132,Surgical Drainage Of Anal Abscess,surgeries
pcd150,Mediastinoscopy,surgeries
pcd168,Tracheostomy,surgeries
pcd169,Adenoidectomy,surgeries
pcd171,Tonsillectomy,surgeries
pcd190,Simple Mastoidectomy,surgeries
pcd194,Septoplasty,surgeries
pcd200,Nasal Endoscopy,surgeries
pcd205,Pyelolithotomy,surgeries
pcd207,Nephrostomy - Percutaneous,surgeries
pcd225,Suprapubic Cystostomy,surgeries
pcd231,Orchidopexy - Unilateral,surgeries
pcd232,Orchidopexy - Bilateral,surgeries
pcd242,Repair Of Third Degree Tear,surgeries
pcd257,Cervical Polypectomy,surgeries
pcd271,Augmentation of Labour,maternity
pcd286,Laparoscopic Myomectomy,surgeries
pcd296,Laparotomy,surgeries
pcd298,Colposcopy,surgeries
pcd310,Repair of perforated uterus,surgeries
pcd32,Hydrocelectomy,surgeries
pcd345,Laser Iridotomy,surgeries
pcd392,Tarsal Tunnel Release,surgeries
pcd42,Meckel's diverticulectomy,surgeries
pcd426,Nerve Graft,surgeries
pcd431,Sequestrectomy,surgeries
pcd449,Plaster Of Paris Long Leg - Cast,surgeries
pcd478,Skull traction,surgeries
pcd479,Skin traction,surgeries
pcd480,Skeletal traction,surgeries
pcd486,Tenosynovectomy,surgeries
pcd491,Arthroscopy Knee - Diagnostic,surgeries
pcd63,Ileostomy Closure,surgeries
pcd674,Frenectomy,exclusions
pcd713,Operculectomy,dentistry
pcd714,Dry socket treatment,dentistry
pcd790,Lumbar Puncture,surgeries
pcd87,Splenectomy,surgeries
pcd91,Adrenalectomy,surgeries
pcd94,Gastric Lavage,surgeries
pcd96,Cholecystectomy,surgeries
pcd97,Laparoscopic Cholecystectomy,surgeries
sur0062,Craniotomy,surgeries
sur0069,Curettage Of Delivered Uterus/ Incomplete Abortion,surgeries
sur0111,Diverticulectomy,surgeries
sur0132,HYSTEROTOMY,surgeries
sur0141,TOTAL THYROIDECTOMY,surgeries
sur0161,Lipoma excision,surgeries
sur0171,silver nitrate stick,non-chronic medications
sur0178,closed appendectomy,surgeries
sur0183,Fistulectomy,surgeries
sur0120,COLON RECONSTRUCTION AFTER HARTMANNS PROCEDURE,surgeries
drg1903,"EXFORGE (AMLODIPNE/VALSARTAN)
5MG/12.5MG/160MG TAB",chronic medication
diag1995,XRAY Hand with Wrist AP (For Bone Age),x-rays and contrast studies
diag2048,XRAY Lumbar Spine AP/LAT/Flexion / Extension,x-rays and contrast studies
drg1533,"CHOLECALCIFEROL 5,000 IU TAB",non-chronic medications
diag1917,XRAY Abdomen (Erect and Supine Views),x-rays and contrast studies
diag1984,XRAY Dorsal Spine AP/LAT/Both OBL,x-rays and contrast studies
con2908,Family Medicine Physician followup,consultation specialist
diag1944,XRAY Both Hip Joints Frog View,x-rays and contrast studies
diag2130,XRAY Shoulder Joint Internal  Rotation View,x-rays and contrast studies
diag1953,XRAY Both Sacro-iliac Joint OBL,x-rays and contrast studies
diag1967,XRAY Cervico-dorsal Spine AP/LAT,x-rays and contrast studies
diag2125,XRAY Sacrum and Coccyx AP/LAT,x-rays and contrast studies
diag1965,XRAY Cervical Spine Open Mouth View,x-rays and contrast studies
diag1985,XRAY Dorso-Lumbar Spine AP/LAT,x-rays and contrast studies
diag2007,"XRAY KUB (Kidneys, Ureters, Bladder)",x-rays and contrast studies
drg3203,VOLTAREN RETARD 100MG TAB,non-chronic medications
diag1938,XRAY Both Feet AP/LAT/OBLIQUE,x-rays and contrast studies
diag2123,XRAY Sacro-iliac Joint Prone,x-rays and contrast studies
diag2140,XRAY Skull for Styloid Process,x-rays and contrast studies
diag2145,XRAY Skull Mandible PA View,x-rays and contrast studies
diag2137,XRAY Skull Both Mandibles OBL,x-rays and contrast studies
diag1934,XRAY Both Ankle Joint AP/LAT,x-rays and contrast studies
diag1936,XRAY Both Elbow Joint AP/LAT,x-rays and contrast studies
diag2139,XRAY Skull Both Temporomandibular Joints,x-rays and contrast studies
diag2151,XRAY Skull Towne's view,x-rays and contrast studies
med0011,ExForgeHCT 5/160/12.5mg,chronic medication
drg2645,PARIET 20MG TAB (RABREPAZOLE),non-chronic medications
diag1943,XRAY Both Heel LAT/Axial,x-rays and contrast studies
diag1960,XRAY Cervical Spine - Both Obliques,x-rays and contrast studies
drg4158,CHLORAMPHENICOL INJ 1G,non-chronic medications
diag1939,XRAY Both Feet AP/OBL,x-rays and contrast studies
diag1942,XRAY Both Hand AP/OBL,x-rays and contrast studies
drg1526,CHLORPHENIRAMINE 2MG/5ML,non-chronic medications
diag1983,XRAY Dorsal Spine AP/LAT,x-rays and contrast studies
out0148,"XRAY CHEST PA, LATERAL",x-rays and contrast studies
diag1937,XRAY Both Feet AP/LAT,x-rays and contrast studies
diag2163,XRAY Thoracic Spine AP/LAT,x-rays and contrast studies
drg1586,CoAprovel 150/12.5mg,chronic medication
drg3288,ZESTRIL 10MG TABS X28,chronic medication
drg1621,CONFIDENCE CONTRACEPTIVE PILL (1 PACK),non-chronic medications
diag1961,XRAY Cervical Spine AP/LAT,x-rays and contrast studies
diag1977,XRAY Chest PA View,x-rays and contrast studies
diag2134,XRAY Skull (ALL VIEWS),x-rays and contrast studies
diag2147,XRAY Skull PA View,x-rays and contrast studies
drg1520,CHLORAMPHENICOL INJ. 500MG,non-chronic medications
diag2138,XRAY Skull Both Mastoids,x-rays and contrast studies
diag2152,XRAY Soft Tissue - AP/LAT,x-rays and contrast studies
diag2161,XRAY Thoracic Inlet  - AP,x-rays and contrast studies
diag2162,XRAY Thoracic Inlet -Lat,x-rays and contrast studies
drg2538,NOVOMIX 100U/ML 30 FLEXPEN,chronic medication
drg4279,ERGOMETRIN INJ 0 5MG,non-chronic medications
diag2062,XRAY Neck LAT - Adenoid,x-rays and contrast studies
diag2080,XRAY Post Nasal Space,x-rays and contrast studies
drg2666,PERGLIM 2MG TABS X30,chronic medication
drg1527,CHLORPHENIRAMINE 4MG TAB,non-chronic medications
drg1701,DEXAMETHAZONE 4MG INJ,non-chronic medications
drg4544,MELOXICAM 75MG TAB,non-chronic medications
diag1959,XRAY Cervical Spine - AP,x-rays and contrast studies
diag1964,XRAY Cervical Spine LAT,x-rays and contrast studies
diag1987,XRAY Finger AP/LAT,x-rays and contrast studies
diag2135,XRAY Skull AP/LAT,x-rays and contrast studies
drg1103,AMITRIPTYLLINE 25MG TAB,non-chronic medications
drg2127,HYPROMELLOSE EYE DROP,non-chronic medications
drg4280,ERGOMETRIN TAB 0 5MG,non-chronic medications
diag2061,XRAY Neck AP/LAT,x-rays and contrast studies
diag2132,XRAY Skeletal Survey,x-rays and contrast studies
diag2136,XRAY Skull Base,x-rays and contrast studies
diag738,Pleural Fluid M/C/S,clinical pathology
drg2212,LANZOPRAZOLE 30MG TAB,non-chronic medications
opt181,Conjunctival Laceration Repair,surgeries
pcd313,Dacryocystorhinostomy,surgeries
diag2146,XRAY Skull Orbit,x-rays and contrast studies
drg4199,CLOXACILLN 500MG CAP,non-chronic medications
oph0013,Cyclopledgic Refraction,ophthalmic care
drg2587,OPATANOL EYEDROP,non-chronic medications
drg4645,OPTODEXINE EYEDROP,non-chronic medications
diag1924,XRAY Acromioclavicular Joint,x-rays and contrast studies
diag1935,XRAY Both Clavicle,x-rays and contrast studies
diag2059,XRAY Nasal Bones,x-rays and contrast studies
drg1139,AMOXYCILLIN 250MG CAP,non-chronic medications
diag710,Ear Swab M/C/S,clinical pathology
drg1902,"EXFORGE (AMLODIPINE/VALSARTAN)
5MG/25MG/1600MG TAB",chronic medication
diag712,Eye Swab m/c/s,clinical pathology
med0196,Indomethacin Inj.,non-chronic medications
drg2528,NORVASC 5MG x30,chronic medication
drg1440,CANDESARTAN 16MG,chronic medication
drg2079,GYNOTROSYD 300MG OVULE,non-chronic medications
diag1141,EBV(VCA) -IgG antibodies to Viral Capsid Antigen of Epstein Barr Virus -  [Serum],clinical pathology
drg1463,CARVEDILOL 6.25MG TAB,chronic medication
drg4330,FLUCONAZOLE EARDROP,non-chronic medications
diag1997,XRAY Hip AP,x-rays and contrast studies
diag686,Blood Culture (Aerobic and Anaerobic),clinical pathology
drg2078,GYNOTROSYD 100MG OVULE,non-chronic medications
pcd170,Adenotonsillectomy,surgeries
drg2934,SIMVASTATINE 40MG,chronic medication
drg2499,NIFEGEM RETARD 20MG TAB,chronic medication
pcd367,Removal Of Silicone Oil,surgeries
pcd4004,Acute Intra-Abdominal Vascular Disease Surgery,surgeries
drg2069,GVITHER PLUS 80/480 TAB,non-chronic medications
diag745,Semen M/C/S,clinical pathology
drg4321,FLOMAX MR CAPSULES 400MCG,non-chronic medications
diag687,Blood Culture (Aerobic),clinical pathology
diag1926,XRAY Babygram,x-rays and contrast studies
drg2165,IVYZOXAN EYE/EAR DROP 5ML,non-chronic medications
drg2784,PYRIDOZINE 50MG TAB,non-chronic medications
pcd4040,Biopsy Of Tumor Of Abdominal Wall,surgeries
pcd515,Epidural Injection Anaesthetic - Lumbar / Caudal,surgeries
drg4190,CLONAZEPAM 0 5MG TABS,chronic medication
pcd796,Hypospadias Repair,surgeries
drg1541,CIMETIDINE 200MG INJ,non-chronic medications
diag1996,XRAY Heel,x-rays and contrast studies
diag2056,XRAY Mastoids,x-rays and contrast studies
diag2058,XRAY Myelogram,advanced and complex investigations
diag2060,XRAY Nasopharynx,x-rays and contrast studies
diag2072,XRAY Pelvimetry,x-rays and contrast studies
diag763,Urine M/C/S,clinical pathology
opt95,Ivy Crom Eye Drop,non-chronic medications
sur0028,TRUCUT Biopsy,surgeries
drg1238,ATACAND PLUS 16/12.5MG,chronic medication
med0002,NUCLEO CMP FORTE,chronic medication
drg1239,ATACAND PLUS 16/12.5MG,chronic medication
drg4018,ACYCLOVIR EYE OINTMENT,non-chronic medications
drg1266,Avodart (Dutasteride) 0.5mg,chronic medication
drg4204,COLCHICINE TABS 1MG,non-chronic medications
med0033,Audiotory Training,audiology
drg1390,BROMAZEPAM 1.5MG TAB,non-chronic medications
drg1542,CIMETIDINE TAB 400MG,non-chronic medications
drg1543,CIMETIDINE tab 400mg,non-chronic medications
pcd4192,Local Resection Of Pelvic Tumor,surgeries
med0250,ADVANT CANDERSARTAN 16MG,chronic medication
med0524,atovastatin 20mg,chronic medication
drg3173,VISINE EYE DROPS (BIG),non-chronic medications
drg4595,MOXILFOXACIN 400MG TABS AVELON,non-chronic medications
drg1063,ALDOMET 250MG TAB,non-chronic medications
drg4636,OFLOXACIN 400MG TABS,non-chronic medications
diag969,CD - FMC-7 (Prognostic CLL/NHL marker) -  [EDTA Blood],cancer care
drg2347,MEFENAMIC ACID 250MG TAB,non-chronic medications
drg1391,BROMAZEPAM 3MG TAB,non-chronic medications
drg1784,EFAVIRENZ/TENOFOVIR/LAMIVUDINE,chronic medication
drg2939,SIRDALUD (TIZANIDINE) 2MG,non-chronic medications
drg2940,SIRDALUD (TIZANIDINE) 4MG,non-chronic medications
diag1915,XRAY Abdomen,x-rays and contrast studies
diag549,CMV-IgG Antibodies to Cyto Megalo Virus -  [Serum],clinical pathology
diag551,CMV-IgM Antibodies to Cyto Megalo Virus -  [Serum],clinical pathology
pcd144,Ultrasound Guided Sclerotherapy - Varicose Veins,ultrasound
diag1026,CD7 (Pan T Cell/Early myeloid marker) -  [EDTA-Blood],cancer care
out0156,CEATININE (BLOOD),clinical pathology
drg4745,Pyrimethamine (Metaprim) 25mg,non-chronic medications
drg3174,VISINE EYE DROPS (SMALL),non-chronic medications
cli0133,Anthral washout - Bilateral,surgeries
dent19,Dental Fissure Sealant,dentistry
diag1287,HSV 1 IgG antibodies to Herpes Simplex Virus 1  -  [Serum],clinical pathology
diag1290,HSV 2 IgM antibodies to Herpes Simplex Virus 2 -  [Serum],clinical pathology
drg1322,BENZHEZOL 5MG TAB,chronic medication
drg4558,MERSILENE TAPE,medical appliances/consumables
drg1338,BETNESOL -N EYE DROPS,non-chronic medications
diag437,MCHC -Mean Corpuscular Haemoglobin Concentration -  [Blood],clinical pathology
drg2363,METHOTREXATE 10MG TABS,chronic medication
drg2705,PLENDIL TAB 10MG,chronic medication
diag1022,CD5 (T cell/B Cell subset marker) -  [EDTA-Blood],cancer care
diag1275,HLA DR/DQ (Class II antigens) -  [EDTA Blood],clinical pathology
drg5000,ONGLYZA 5MG/TAB,chronic medication
drg3291,ZETGEL CREAM,non-chronic medications
drg4191,CLONIDINE 100MCG TAB,chronic medication
drg2947,SODIUM CHROMOGLYCATE EYE DROPS,non-chronic medications
diag1012,CD38 (Plasma cell/Prognostic CLL marker) -  [EDTA -Blood],cancer care
drg3080,TRAVANTAN OINTMENT,chronic medication
drg1223,ASPIRIN 75MG TAB (DISPERSIBLE),chronic medication
med0302,GLIMEPIRIDE GETRYL 2MG,chronic medication
drg1242,ATENOLOL 100MG TAB,chronic medication
drg1243,ATENOLOL 50MG TAB,chronic medication
drg2706,PLENDIL TAB 5MG,chronic medication
drg3102,TRITACE 5MG TAB,chronic medication
diag1260,HIV-1-RNA Quantification (Viral load) -  [EDTA Plasma],hiv/aids care and treatment
drg4603,NALOXONE HCL 400MCG ML,non-chronic medications
pcd228,Urethrectomy,surgeries
pcd92,Pyloroplasty,surgeries
drg1117,AMLONG (AMLODIPINE) 10MG,chronic medication
drg1644,CRESTOR (ROSUVASTATIN) 10MG,chronic medication
drg1645,CRESTOR (ROSUVASTATIN) 20MG,chronic medication
drg2372,MICARDIS (TELMISARTAN) 40MG,chronic medication
drg2373,MICARDIS (TELMISARTAN) 80MG,chronic medication
med0432,Adalat retard tab 20mg,non-chronic medications
diag328,"Urea Nitrogen (BUN) -  [Urine, 24hrs]",clinical pathology
diag781,"17  Hydroxy progesterone, neonatal screen -  [Blood]",clinical pathology
drg2294,LOTRIAL 10mg x 30,chronic medication
drg4640,OLMESARTAN ORION 20MG TABS,chronic medication
med0474,ALDACTONE 25MG X 100,non-chronic medications
med0503,B-COR 2.5MG,non-chronic medications
diag1162,"Factor V leiden, mutant detection -  [EDTA-Blood]",clinical pathology
drg4554,MENTHOL CRYSTALS,non-chronic medications
diag438,MCV -Mean Corpuscular Volume -  [Blood],clinical pathology
diag541,"CA- 15.3 (Cancer Antigen 15.3),  -  [Serum]",cancer care
drg2497,NIFEDIN DEXCEL RETARD 20M,chronic medication
drg2159,IVYSINE EYE DROP 10ML,non-chronic medications
drg2205,LACTULOSE SOLUTION 300MLS,non-chronic medications
pcd337,Yag Laser Capsulotomy,surgeries
drg1118,AMLONG (AMLODIPINE) 5MG,chronic medication
drg1646,CRESTOR (ROSUVASTATIN) 5MG,chronic medication
drg2295,LOTRIAL 5mg x 30,chronic medication
drg4131,CADUET 5 10MG,chronic medication
drg4502,LETROZOLE 2 5MG,non-chronic medications
med0411,Pilex Tab,non-chronic medications
diag190,Albumin - [Ascitic fluid],clinical pathology
diag436,MCH -Mean Corpuscular Haemoglobin -  [Blood],clinical pathology
drg1503,CERUMOL EAR DROPS,non-chronic medications
med0124,Candibiotic Ear Drops,non-chronic medications
drg1744,DISPERSIBLE ASPIRIN 75MG TEVA,chronic medication
drg4041,ALTARGO CREAM RETAPAMULIN,non-chronic medications
diag780,"1,25 Dihydroxy Cholecalciferol (Vitamin D) -  [Serum]",non-chronic medications
drg4272,ENCEPHABOL SYR 200MLS,chronic medication
cli0013,Adhesiolysis,surgeries
pcd149,Thoracotomy,surgeries
pcd798,Nebulisation,emergency/critical care
diag045,CT Chest / Abdomen and Pelvis,advanced and complex investigations
drg1408,CAC 1000,non-chronic medications
drg1723,DICLOFENAC SODIUM 50MG,non-chronic medications
drg2681,Phlebodia 600mg,non-chronic medications
drg4317,Fexofenadine 180mg,non-chronic medications
drg4546,MELOXICAM 15MG,non-chronic medications
diag1013,CD4 (Helper T Cell marker) -  [EDTA-Blood],hiv/aids care and treatment
drg4479,KETOTIFEN 1MG TAB,non-chronic medications
drg4480,KETOTIFEN 2MG TAB,non-chronic medications
med0528,IV ocexone 1g,non-chronic medications
pcd383,Incision Of Tendon Sheath,surgeries
drg1539,CILOXAN EYE DROPS,non-chronic medications
drg2156,IVYDEXGENT EYE DROPS,non-chronic medications
drg2900,SALINE NASAL DROPS,non-chronic medications
drg4804,SPERSALLERG EYE DROP,non-chronic medications
drg4943,VITRICINE EYE DROPS,non-chronic medications
med0242,MICROSOL EYE DROPS,non-chronic medications
drg2812,REGROTON TAB,chronic medication
drg4893,TYZINE NASAL DROP 0.1 PERCENT 15ML,non-chronic medications
diag624,Vitamin D3 (25 Hydroxy Cholecalciferol) -  [Serum],non-chronic medications
diag1002,CD3/CD4/CD8 Counts -  [EDTA-Blood],clinical pathology
drg2259,LIVOLIN FORTE,non-chronic medications
diag117,CT Temporo Mandibular Joint,advanced and complex investigations
drg2217,LASIX TAB 40MG,chronic medication
drg4318,Fexofenadine 120mg,non-chronic medications
drg4338,FLUTAMIDE 250MG,chronic medication
med0055,CEFIXIME 400MG TAB,non-chronic medications
pcd35,Excision Of Pilonidal Sinus,surgeries
pcd161,Examination Under Anaesthetic,surgeries
drg1385,BRINERDIN TAB,chronic medication
drg1517,CHLORAMPHENICOL EAR DROPS,non-chronic medications
diag2155,XRAY Sternoclavicular Joint,x-rays and contrast studies
diag327,Urea Nitrogen (BUN) -  [Serum],clinical pathology
opt114,Optical Coherence Tomography,ophthalmic care
dent16,Dental Crown Cementation,dentistry
pcd107,Excision of Submandibular Gland,surgeries
drg2107,HUMALOG (PENFIL),chronic medication
diag970,CD - TCR-Alpha Beta  -  [EDTA  Blood],cancer care
diag072,CT Internal Auditory Canal,advanced and complex investigations
drg1593,COCODAMOL 500MG,non-chronic medications
drg3022,TAVANIC 500mg,non-chronic medications
med0102,ONDANSETRON TAB 4MG,non-chronic medications
drg2539,NOVORAPID FLEXPEN 100U/ML,chronic medication
drg2523,NORMORETIC TAB,chronic medication
drg4509,LIGNOCAIN 2 PRC (PLAIN) 20ML INJ.,non-chronic medications
drg1518,CHLORAMPHENICOL EYE DROPS,non-chronic medications
drg1235,ATACAND 16MG TABS *28,chronic medication
drg1279,AZOPT EYE DROPS,chronic medication
