Procedure Code,Procedure Description,Benefit Group,,,,,,,,,,,,,,
DRG4185,CLINDAMYCIN 150MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4197,CLOXACILLIN 250MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4214,CYCLOPHOSPHAMIDE TAB 50MG,Chronic Medication,,,,,,,,,,,,,,
DRG4231,DEXAMETHASONE 0 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4232,DEXAMETHASONE 1MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4254,DIHYDROARTEMISININ SUPPOSITORIES 40MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4260,DITROPAN 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4291,EUCARDIC 12.5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4292,EUCARDIC 25MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4293,EUCARDIC 3.125MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4306,FELODIPINE 10MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4331,FLUCONAZOLE INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4340,FLUVASTATIN LESCOL 40MG CAP,Chronic Medication,,,,,,,,,,,,,,
DRG4349,GELOFUSINE INF 500ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4355,GONAL F 75IU INJ,Exclusions,,,,,,,,,,,,,,
DRG4409,HYPOTEARS EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4411,HYTRIN 2MG,Chronic Medication,,,,,,,,,,,,,,
DRG4412,IBEX,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4418,IKACLOMIN 50MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4425,INDAPAMIDE SR 1 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4429,INJ RABEPRAZOLE 20MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4484,KNEE BRACE,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG4492,LACTIC ACID CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4565,METHOTREXATE INJ 50MG,Chronic Medication,,,,,,,,,,,,,,
DRG4567,METHYLPREDNISOLONE CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4602,NALIDIXIC ACID 500MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4610,NEOMYCIN 500MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4613,NEOSTIGMINE 2 5MG INJ,Chronic Medication,,,,,,,,,,,,,,
DRG4619,NEUROXICAM OINTMENT,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4650,ORAL REHYDRATION SALTS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4660,PALUTHER 80MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4743,PYRIDOXINE 50MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4744,PYRIDOXINE SYR,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4771,SCOTCH CAST,Surgeries,,,,,,,,,,,,,,
DRG4795,SOFRATULLE,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG4898,URINE BAG,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG4920,VERAPAMIL 80MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4927,VILLICIN BALM 25G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4949,VOLUMATIC SPACER DEVICE,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG4983,ZESTRIL 20MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4984,ZESTRIL 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
MED0019,ATENOLOL 25MG,Chronic Medication,,,,,,,,,,,,,,
MED0021,TENORMIN 100MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0022,TENORMIN 50MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0024,SALBUTAMOL 2MG TAB VENTOLIN,Chronic Medication,,,,,,,,,,,,,,
MED0038,AMPICILLIN CLOXACILLIN 90MG/0.6ML DROP,Non-Chronic Medications,,,,,,,,,,,,,,
MED0044,EXFORGE 5MG/160MG TAB (AMLODIPINE   VALSARTAN ),Non-Chronic Medications,,,,,,,,,,,,,,
MED0047,NEBIVOLOL 5MG,Chronic Medication,,,,,,,,,,,,,,
MED0128,ADACEL POLIO VACCINE,Non-Chronic Medications,,,,,,,,,,,,,,
MED0170,AMINOPHYLLINE INJ 250MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0190,LABETALOL 100MG TAB,Chronic Medication,,,,,,,,,,,,,,
MED0308,FLUCONAZOLE CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
MED0311,ARTESUNATE 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
MED0330,Inj Omeprazole 40mg,Non-Chronic Medications,,,,,,,,,,,,,,
MED0343,Silodosin 8mg,Chronic Medication,,,,,,,,,,,,,,
MED0344,Tab Citicoline 500MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0349,Back Slab,Surgeries,,,,,,,,,,,,,,
MED0418,Lisinopril 5MG (Teva),Chronic Medication,,,,,,,,,,,,,,
MED0454,Glucometer,Medical Appliances/Consumables,,,,,,,,,,,,,,
MED0471,LISINOPRIL 20MG (TEVA),Chronic Medication,,,,,,,,,,,,,,
MED0486,DIAMICRON 30MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0489,CLOPIDOGREL 75MG,Chronic Medication,,,,,,,,,,,,,,
MED0499,EXFORGE 10MG/160MG,Chronic Medication,,,,,,,,,,,,,,
MED0502,PANFOR SR 1000MG,Chronic Medication,,,,,,,,,,,,,,
MED0515,COVERAM 5MG/10MG,Chronic Medication,,,,,,,,,,,,,,
MED0520,AMOXYCILLIN 250MG/5ML,Non-Chronic Medications,,,,,,,,,,,,,,
MED0544,FENOFIBRATE 160MG,Chronic Medication,,,,,,,,,,,,,,
MED0545,LEVEMIR FLEXPEN,Chronic Medication,,,,,,,,,,,,,,
MED0559,Artemether inj. 80mg,Non-Chronic Medications,,,,,,,,,,,,,,
Physio11,Electrodes,Medical Appliances/Consumables,,,,,,,,,,,,,,
Physio22,Cervical Collar Rigid,Surgeries,,,,,,,,,,,,,,
PCD6000,WALKING FRAME,Physiotherapy,,,,,,,,,,,,,,
PCD6001,ARM SLING,Medical Appliances/Consumables,,,,,,,,,,,,,,
PCD6002,INCISIONAL BIOPSY,Surgeries,,,,,,,,,,,,,,
PCD6003,INTRA ARTICULAR INJECTION,Chronic Medication,,,,,,,,,,,,,,
BIO0008,Csf Chloride,Clinical Pathology,,,,,,,,,,,,,,
BIO0023,CLOTTING PROFILE,Clinical Pathology,,,,,,,,,,,,,,
BIO0026,CATECHOLAMINES [BLOOD],Clinical Pathology,,,,,,,,,,,,,,
DIAG187,Albumin -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG188,Albumin -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG203,Apolipoproteins A1 -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG204,Apolipoproteins A1/B -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG216,Blood Sugar (Post Prandial),Clinical Pathology,,,,,,,,,,,,,,
DIAG219,BUN (Blood Urea Nitrogen) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG220,"BUN (Blood Urea Nitrogen) -  [Urine, 24hrs]",Clinical Pathology,,,,,,,,,,,,,,
DIAG221,Calcium -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG228,Cholesterol (Total) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG282,"Microalbumin -  [Urine, spot]",Clinical Pathology,,,,,,,,,,,,,,
DIAG292,Potassium -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG311,Sodium -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG330,"Uric Acid -  [Urine,24Hrs]",Clinical Pathology,,,,,,,,,,,,,,
Pro0009,PENTAVALENT IMMUNIZATION,Immunizations,,,,,,,,,,,,,,
DIAG413,Bone Marrow Aspiration,Surgeries,,,,,,,,,,,,,,
DIAG418,Reticulocyte Count,Clinical Pathology,,,,,,,,,,,,,,
DIAG432,Malaria QBC,Clinical Pathology,,,,,,,,,,,,,,
DIAG463,CK18 (Cyto Keratin) -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG464,CK8 (Cyto Keratin-Low Molecular Weight) -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG469,Cytology -  [Urine],Cancer Care,,,,,,,,,,,,,,
DIAG471,Cytology - [Ascitic fluid],Clinical Pathology,,,,,,,,,,,,,,
DIAG473,Cytology - [CSF],Cancer Care,,,,,,,,,,,,,,
DIAG475,Cytology - [Pleural fluid],Cancer Care,,,,,,,,,,,,,,
DIAG487,Histology,Surgeries,,,,,,,,,,,,,,
DIAG518,Renal biopsy with PAS stain -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG578,"Hepatitis B Profile = HBsAg, Anti-HBsAg, Anti HBcAg -Total, Anti HBcAg -IgM, HBeAg, Anti-HBeAg",Clinical Pathology,,,,,,,,,,,,,,
DIAG1008,CD33 (myeloid marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG1029,CD99 (Mic-2)  -  [Tissue],Cancer Care,,,,,,,,,,,,,,
DIAG1136,EBV Antibody panel -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1142,EBV(VCA) -IgM antibodies to Viral Capsid Antigen of Epstein Barr Virus -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1152,Entamoeba Histolytica antibody -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1180,Folic acid -  [serum.],Clinical Pathology,,,,,,,,,,,,,,
DIAG1229,HCV-RNA Quantification (Viral load) -  [Plasma or serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1249,Histoplasma antibody -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG1288,HSV 1 IgM antibodies to Herpes Simplex Virus 1  -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1289,HSV 2 IgG antibodies to Herpes Simplex Virus 2  -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1300,IgA  -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG1305,IgG -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG1307,IgG -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1309,IgM -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG1347,Kappa Light Chains -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG1348,"Kappa Light Chains -  [Urine, 24 hours]",Clinical Pathology,,,,,,,,,,,,,,
DIAG1349,Kappa/Lambda light chains -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG1373,Leucocyte Common Antigen (CD45) by Immunohistochemistry -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG1374,Leukemia : inv(16) translocation  -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG1375,Leukemia : t ( 8;21 ) -  [Bone Marrow],Cancer Care,,,,,,,,,,,,,,
DIAG1389,Lithium level   -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1506,PR - Progesterone receptor by Immunohistochemistry -  [Tissue],Cancer Care,,,,,,,,,,,,,,
DIAG1580,Swine Flu,Clinical Pathology,,,,,,,,,,,,,,
DIAG875,Antiphospholipid antibody (APA)- IgG -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG876,Antiphospholipid antibody (APA)- IgM -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG877,APA - IgG Antiphospholipid antibody  -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG878,APA - IgM  Antiphospholipid antibody  -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG904,BCL-2 Oncoprotein  -  [Tissue],Cancer Care,,,,,,,,,,,,,,
DIAG971,CD - TCR-Gamma Delta -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG974,CD103 (Hairy cell marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG977,CD11c (Hairy cell/NHL Marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG978,CD13 (Myeloid cell marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG980,CD14 (Monocytic cell marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG985,CD16/56 (NK Cells) -  [Serum],Cancer Care,,,,,,,,,,,,,,
DIAG986,CD19 (Pan B Cell marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG987,CD2 (Pan T cell marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG992,CD21 (Pan B Cell marker) -  [Tissue],Cancer Care,,,,,,,,,,,,,,
DIAG993,CD22 (Pan B Cell marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG994,CD23 (CLL segregation marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG995,CD25 (Hairy cell NHL marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
DIAG700,CATHETER TIP M/C/S,Clinical Pathology,,,,,,,,,,,,,,
DIAG701,Cell count -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG704,CSF M/C/S,Clinical Pathology,,,,,,,,,,,,,,
DIAG749,Smear examination - [Any Sample],Clinical Pathology,,,,,,,,,,,,,,
DIAG767,Wound Swab M/C/S,Clinical Pathology,,,,,,,,,,,,,,
CLI0005,24 Hour Ambulatory Ecg,Advanced and Complex Investigations,,,,,,,,,,,,,,
CLI0006,24 Hour Ambulatory Electroencephalography (Eeg),Advanced and Complex Investigations,,,,,,,,,,,,,,
CLI0010,Adenoidectomy - Double Room,Surgeries,,,,,,,,,,,,,,
CLI0073,ENEMA SAPONIS,X-Rays and Contrast Studies,,,,,,,,,,,,,,
CLI0084,LOCAL ANAESTHESIA,Surgeries,,,,,,,,,,,,,,
CLI0105,ANAL FISTULECTOMY REPAIR,Surgeries,,,,,,,,,,,,,,
CLI0139,BLEEDING TIME,Clinical Pathology,,,,,,,,,,,,,,
CLI0148,Physical Examination,Consultation General,,,,,,,,,,,,,,
DIAG355,HIV (P24) ANTIGEN,Clinical Pathology,,,,,,,,,,,,,,
DIAG370,Reducing substances -  [Stool],Clinical Pathology,,,,,,,,,,,,,,
DIAG371,Reducing substances -  [Urine],Clinical Pathology,,,,,,,,,,,,,,
DIAG380,Urinalysis,Clinical Pathology,,,,,,,,,,,,,,
DIAG1689,Pregnancy test -  [Urine],Clinical Pathology,,,,,,,,,,,,,,
DIAG1714,Mammography,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1755,MRI Lumbosacral Spine,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1782,MRI Whole Spine,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1801,EEG (Electroencephalogram),Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1802,EMG (Electromyogram),Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1803,Evoked Potential,Advanced and Complex Investigations,,,,,,,,,,,,,,
OPH0002,RETINOSCOPY,Ophthalmic care,,,,,,,,,,,,,,
OPH0022,Zaditen Eye Drop,Non-Chronic Medications,,,,,,,,,,,,,,
OPT182,Diode Laser Cycloablation,Surgeries,,,,,,,,,,,,,,
OPT184,Syringing And Probing,Surgeries,,,,,,,,,,,,,,
OPT186,Tumor Excision From Lid,Surgeries,,,,,,,,,,,,,,
OPT199,Granuloma Excision,Surgeries,,,,,,,,,,,,,,
OPT88,Hypomer Gel,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1114,Amlodipine 2.5mg tab,Chronic Medication,,,,,,,,,,,,,,
DRG5004,TADALAFIL 10MG/TAB,Chronic Medication,,,,,,,,,,,,,,
OUT0003,REFUND,Consultation General,,,,,,,,,,,,,,
PCD240,Circumcision,Neonatal Services,,,,,,,,,,,,,,
PCD39,Hydrocoelectomy,Surgeries,,,,,,,,,,,,,,
PCD4054,Cavernospongiosum Shunt,Surgeries,,,,,,,,,,,,,,
PCD4068,Chondromectomy,Surgeries,,,,,,,,,,,,,,
PCD4091,Cystic Hygroma Excision,Surgeries,,,,,,,,,,,,,,
PCD4098,Decortication,Surgeries,,,,,,,,,,,,,,
PCD4106,Dissection Of Femoral Triangle,Surgeries,,,,,,,,,,,,,,
PCD4108,Drainage Of Septic Arthritis,Surgeries,,,,,,,,,,,,,,
PCD4115,Encephalocoele Excision,Surgeries,,,,,,,,,,,,,,
PCD4127,Excision Of Vaginal Septum,Surgeries,,,,,,,,,,,,,,
PCD4178,Intussusception Operation,Surgeries,,,,,,,,,,,,,,
PCD4230,Oesophagostomy,Surgeries,,,,,,,,,,,,,,
PCD4244,Pelvic Evisceration,Surgeries,,,,,,,,,,,,,,
PCD4259,Pleurectomy,Surgeries,,,,,,,,,,,,,,
PCD4277,Release Of Chordae,Surgeries,,,,,,,,,,,,,,
PCD4280,Renal Cystectomy,Surgeries,,,,,,,,,,,,,,
PCD4281,Repair Of Gastric Lacerations,Surgeries,,,,,,,,,,,,,,
PCD4283,Repair Of Oesophageal Lacerations,Surgeries,,,,,,,,,,,,,,
PCD4284,Repair of ruptured  uterus,Surgeries,,,,,,,,,,,,,,
PCD4288,Retroperitoneal Drainage Of Perinephric Abscess,Surgeries,,,,,,,,,,,,,,
PCD4304,Simple Congenital Talipes Repair,Exclusions,,,,,,,,,,,,,,
PCD4316,Squint Surgery,Surgeries,,,,,,,,,,,,,,
PCD4320,Subdural Tap,Surgeries,,,,,,,,,,,,,,
PCD4322,Submandibular Sialoadenectomy,Surgeries,,,,,,,,,,,,,,
PCD4323,Subperiosteal Drainage Of Acute Osteomyelitis,Surgeries,,,,,,,,,,,,,,
PCD4325,Surgery Of Hepatic Trauma,Surgeries,,,,,,,,,,,,,,
PCD4331,Surgical Extraction,Dentistry,,,,,,,,,,,,,,
PCD4337,Synovectomy,Surgeries,,,,,,,,,,,,,,
PCD4369,Tympanometry,Audiology,,,,,,,,,,,,,,
PCD4376,Vagotomy/Pyloroplasty,Surgeries,,,,,,,,,,,,,,
PCD4378,Vasectomy,Surgeries,,,,,,,,,,,,,,
PCD900,Aspirations / Paracentesis,Surgeries,,,,,,,,,,,,,,
PCD902,Evacuation Of Impacted Faeces,Surgeries,,,,,,,,,,,,,,
DIAG1810,PCD Abdomen,Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1811,PCD Both Eyes,Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1812,PCD Carotids,Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1813,PCD Lower Extremity Arterial Study (Both Limbs),Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1817,PCD Lower Extremity Venous Study (Both Limbs),Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1819,PCD Neck Vessels,Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1823,PCD Renal,Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1824,PCD Upper Extremity Arterial Study (Both Limbs),Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1827,PCD Upper Extremity Venous Study (Both Limbs),Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1830,PCD Varicocele,Advanced and Complex Investigations,,,,,,,,,,,,,,
DIAG1837,PCD (PENILE),Advanced and Complex Investigations,,,,,,,,,,,,,,
PHOT02,Phototherapy (Double) Per Day,Emergency/Critical Care,,,,,,,,,,,,,,
physio004,Incentive Spirometer,Physiotherapy,,,,,,,,,,,,,,
physio005,Zimmer frame,Orthopaedics/Orthotics,,,,,,,,,,,,,,
SON0001,Venous Doppler Scan (Limb),Advanced And Complex Investigations,,,,,,,,,,,,,,
SON0002,Renal Doppler Scan (bilateral),Advanced And Complex Investigations,,,,,,,,,,,,,,
PCD102,Sublingual gland excision,Surgeries,,,,,,,,,,,,,,
PCD105,Total Parotidectomy,Surgeries,,,,,,,,,,,,,,
PCD106,Parathyroidectomy,Surgeries,,,,,,,,,,,,,,
PCD109,Thyroplasty,Surgeries,,,,,,,,,,,,,,
PCD132,Surgical Drainage Of Anal Abscess,Surgeries,,,,,,,,,,,,,,
PCD150,Mediastinoscopy,Surgeries,,,,,,,,,,,,,,
PCD168,Tracheostomy,Surgeries,,,,,,,,,,,,,,
PCD169,Adenoidectomy,Surgeries,,,,,,,,,,,,,,
PCD171,Tonsillectomy,Surgeries,,,,,,,,,,,,,,
PCD190,Simple Mastoidectomy,Surgeries,,,,,,,,,,,,,,
PCD194,Septoplasty,Surgeries,,,,,,,,,,,,,,
PCD200,Nasal Endoscopy,Surgeries,,,,,,,,,,,,,,
PCD205,Pyelolithotomy,Surgeries,,,,,,,,,,,,,,
PCD207,Nephrostomy - Percutaneous,Surgeries,,,,,,,,,,,,,,
PCD225,Suprapubic Cystostomy,Surgeries,,,,,,,,,,,,,,
PCD231,Orchidopexy - Unilateral,Surgeries,,,,,,,,,,,,,,
PCD232,Orchidopexy - Bilateral,Surgeries,,,,,,,,,,,,,,
PCD242,Repair Of Third Degree Tear,Surgeries,,,,,,,,,,,,,,
PCD257,Cervical Polypectomy,Surgeries,,,,,,,,,,,,,,
PCD271,Augmentation of Labour,Maternity,,,,,,,,,,,,,,
PCD286,Laparoscopic Myomectomy,Surgeries,,,,,,,,,,,,,,
PCD296,Laparotomy,Surgeries,,,,,,,,,,,,,,
PCD298,Colposcopy,Surgeries,,,,,,,,,,,,,,
PCD310,Repair of perforated uterus,Surgeries,,,,,,,,,,,,,,
PCD32,Hydrocelectomy,Surgeries,,,,,,,,,,,,,,
PCD345,Laser Iridotomy,Surgeries,,,,,,,,,,,,,,
PCD392,Tarsal Tunnel Release,Surgeries,,,,,,,,,,,,,,
PCD42,Meckel's diverticulectomy,Surgeries,,,,,,,,,,,,,,
PCD426,Nerve Graft,Surgeries,,,,,,,,,,,,,,
PCD431,Sequestrectomy,Surgeries,,,,,,,,,,,,,,
PCD449,Plaster Of Paris Long Leg - Cast,Surgeries,,,,,,,,,,,,,,
PCD478,Skull traction,Surgeries,,,,,,,,,,,,,,
PCD479,Skin traction,Surgeries,,,,,,,,,,,,,,
PCD480,Skeletal traction,Surgeries,,,,,,,,,,,,,,
PCD486,Tenosynovectomy,Surgeries,,,,,,,,,,,,,,
PCD491,Arthroscopy Knee - Diagnostic,Surgeries,,,,,,,,,,,,,,
PCD63,Ileostomy Closure,Surgeries,,,,,,,,,,,,,,
PCD674,Frenectomy,Exclusions,,,,,,,,,,,,,,
PCD713,Operculectomy,Dentistry,,,,,,,,,,,,,,
PCD714,Dry socket treatment,Dentistry,,,,,,,,,,,,,,
PCD790,Lumbar Puncture,Surgeries,,,,,,,,,,,,,,
PCD87,Splenectomy,Surgeries,,,,,,,,,,,,,,
PCD91,Adrenalectomy,Surgeries,,,,,,,,,,,,,,
PCD94,Gastric Lavage,Surgeries,,,,,,,,,,,,,,
PCD96,Cholecystectomy,Surgeries,,,,,,,,,,,,,,
PCD97,Laparoscopic Cholecystectomy,Surgeries,,,,,,,,,,,,,,
SUR0062,Craniotomy,Surgeries,,,,,,,,,,,,,,
SUR0069,Curettage Of Delivered Uterus/ Incomplete Abortion,Surgeries,,,,,,,,,,,,,,
SUR0111,Diverticulectomy,Surgeries,,,,,,,,,,,,,,
SUR0132,HYSTEROTOMY,Surgeries,,,,,,,,,,,,,,
SUR0141,TOTAL THYROIDECTOMY,Surgeries,,,,,,,,,,,,,,
SUR0161,Lipoma excision,Surgeries,,,,,,,,,,,,,,
SUR0171,silver nitrate stick,Non-Chronic Medications,,,,,,,,,,,,,,
SUR0178,closed appendectomy,Surgeries,,,,,,,,,,,,,,
SUR0183,Fistulectomy,Surgeries,,,,,,,,,,,,,,
SUR0120,COLON RECONSTRUCTION AFTER HARTMANNS PROCEDURE,Surgeries,,,,,,,,,,,,,,
DRG1903,"EXFORGE (AMLODIPNE/VALSARTAN)
5MG/12.5MG/160MG TAB",Chronic Medication,,,,,,,,,,,,,,
DIAG1995,XRAY Hand with Wrist AP (For Bone Age),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2048,XRAY Lumbar Spine AP/LAT/Flexion / Extension,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG1533,"CHOLECALCIFEROL 5,000 IU TAB",Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1917,XRAY Abdomen (Erect and Supine Views),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1984,XRAY Dorsal Spine AP/LAT/Both OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
Con2908,Family Medicine Physician followup,Consultation Specialist,,,,,,,,,,,,,,
DIAG1944,XRAY Both Hip Joints Frog View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2130,XRAY Shoulder Joint Internal  Rotation View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1953,XRAY Both Sacro-iliac Joint OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1967,XRAY Cervico-dorsal Spine AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2125,XRAY Sacrum and Coccyx AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1965,XRAY Cervical Spine Open Mouth View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1985,XRAY Dorso-Lumbar Spine AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2007,"XRAY KUB (Kidneys, Ureters, Bladder)",X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG3203,VOLTAREN RETARD 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1938,XRAY Both Feet AP/LAT/OBLIQUE,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2123,XRAY Sacro-iliac Joint Prone,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2140,XRAY Skull for Styloid Process,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2145,XRAY Skull Mandible PA View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2137,XRAY Skull Both Mandibles OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1934,XRAY Both Ankle Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1936,XRAY Both Elbow Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2139,XRAY Skull Both Temporomandibular Joints,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2151,XRAY Skull Towne's view,X-Rays and Contrast Studies,,,,,,,,,,,,,,
MED0011,ExForgeHCT 5/160/12.5mg,Chronic Medication,,,,,,,,,,,,,,
DRG2645,PARIET 20MG TAB (RABREPAZOLE),Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1943,XRAY Both Heel LAT/Axial,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1960,XRAY Cervical Spine - Both Obliques,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG4158,CHLORAMPHENICOL INJ 1G,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1939,XRAY Both Feet AP/OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1942,XRAY Both Hand AP/OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG1526,CHLORPHENIRAMINE 2MG/5ML,Non-Chronic Medications,,,,,,,,,,,,,,
